# gx gy gz (ECEF center)
# id px py pz (point data)
-3957728.165612000040710 3356753.974301999900490 3695668.189168000128120
63 9.453337 121.696548 -92.039284
64 7.130092 101.619560 -74.454285
65 8.473674 123.498703 -88.810966
66 4.186770 102.759537 -79.865425
67 13.321516 200.358246 -128.755981
68 22.386297 188.312698 -105.458534
69 -8.979403 79.098564 -72.210136
70 -8.407272 78.649979 -72.696014
71 0.994639 104.411461 -84.904938
72 -8.662168 78.844528 -72.430885
73 4.085893 115.456131 -81.964043
74 7.130385 109.462852 -82.626587
75 -11.403301 82.361252 -77.384491
76 -8.815718 78.989922 -72.289314
77 -10.061704 80.949219 -76.271645
78 -9.781979 82.169235 -77.058472
79 -9.557271 82.764771 -77.536285
80 -8.560831 78.770996 -72.607803
81 -9.851672 81.050323 -76.600471
82 7.774839 110.895363 -83.419548
83 -8.408906 78.650208 -72.637680
84 -8.739367 78.959244 -72.435043
85 -8.845761 79.068779 -72.268684
86 -8.458791 78.692909 -72.572212
87 -8.226522 78.716904 -72.781097
88 -8.415899 78.671875 -72.652122
89 -5.003687 93.255180 -72.320259
90 -8.278096 78.573425 -72.660904
91 -6.165668 93.059868 -74.691086
92 15.770761 193.086182 -128.264328
93 13.027285 220.606598 -136.155655
94 11.802616 212.198761 -132.375290
95 3.725257 101.981232 -78.166656
96 24.344347 134.018585 -76.386131
97 20.203039 123.787682 -74.424271
98 24.459917 131.036926 -76.471428
99 9.362919 116.889297 -86.579659
100 12.802021 119.394089 -84.477036
101 17.872696 126.814087 -85.057472
102 8.432005 121.593140 -87.503693
103 7.787942 116.354622 -84.952049
104 8.598195 117.798653 -88.420151
105 8.744650 127.545998 -82.758102
106 7.324831 126.896301 -87.710464
107 17.303684 175.827942 -102.640221
108 10.573299 195.429672 -125.501846
109 7.198763 126.917900 -88.160812
110 6.756017 125.221001 -87.586739
111 6.974272 125.748421 -87.292244
112 13.817341 195.667389 -126.935020
113 7.937612 129.141754 -88.503235
114 7.791352 115.749123 -80.324249
115 12.489919 120.099228 -83.068634
116 40.997143 222.976624 -95.283134
117 6.086884 120.525490 -83.251915
118 13.682075 125.044014 -82.232979
119 19.433992 122.280357 -73.343185
120 8.533856 121.957863 -87.634628
121 25.819843 129.994629 -74.323631
122 15.728572 120.427422 -82.652725
123 25.763996 129.390915 -78.310547
124 10.911066 116.574623 -87.000282
125 13.555728 126.166283 -93.570312
126 3.653679 154.617966 -110.613419
127 8.638725 204.550781 -135.762634
128 -10.303918 83.998062 -77.200737
129 -12.200571 81.929611 -77.679337
130 0.509758 131.035248 -96.975601
131 -11.778894 81.345024 -77.794189
132 -6.333567 87.947983 -78.594360
133 6.632426 112.285057 -85.635513
134 -8.249039 78.679451 -72.758156
135 27.879595 208.555939 -141.702240
136 20.240360 195.473434 -132.855347
137 8.548608 117.144974 -85.867287
138 0.710175 106.851723 -79.727043
139 3.143092 105.256828 -77.993713
140 -8.545836 95.416458 -84.838943
141 7.159489 120.957069 -85.563339
142 6.992581 119.967415 -83.871117
143 14.520554 124.832359 -81.783592
144 9.642447 124.092407 -89.602364
145 13.235355 121.182724 -82.026680
146 -7.277036 93.403633 -84.415321
147 -7.536348 93.628304 -84.108040
148 -4.935310 94.008598 -82.228271
