# gx gy gz (ECEF center)
# id px py pz (point data)
-3957807.463847000151873 3357257.015753999818116 3695139.802271000109613
435 22.300581 67.464920 -39.982475
436 19.920395 84.061325 -46.426682
437 22.252861 67.445724 -39.975925
438 23.517439 67.381859 -40.807487
439 22.262850 67.741722 -40.215569
440 23.546217 67.647606 -41.055267
441 22.246645 68.175690 -40.563877
442 22.875673 104.431679 -56.686222
443 19.905716 70.674706 -38.123154
444 24.000456 69.516792 -36.223286
445 43.078007 100.798088 -48.600788
446 41.075615 97.062546 -46.710548
447 19.938887 69.794281 -38.201492
448 31.915995 112.571030 -52.840988
449 33.958572 109.722267 -55.183323
450 22.804811 89.296722 -46.311954
451 32.255447 124.157799 -55.789894
452 34.147415 105.053284 -55.205425
453 34.311928 95.588158 -52.385601
454 20.641663 76.281303 -41.227558
455 40.018578 90.164970 -32.099213
456 30.730320 123.559456 -54.086002
457 30.558449 85.588173 -34.959183
458 26.351917 95.098305 -46.675060
459 26.925985 94.292397 -46.778633
460 29.087172 94.074791 -50.218540
461 36.129688 124.961868 -63.618996
462 30.681824 84.624207 -36.469177
463 25.388685 77.765244 -43.700729
464 35.505619 99.553093 -54.575073
465 31.058764 85.084694 -36.092773
466 50.754654 122.187065 -58.806801
467 44.928608 106.927315 -51.969570
468 26.279970 76.762962 -44.030380
469 32.132465 84.603104 -35.903847
470 28.439539 80.619568 -44.530254
471 27.620977 84.143631 -46.892014
472 24.201073 109.171524 -46.464394
473 30.656981 84.650780 -35.773533
474 31.030893 84.964600 -34.964230
475 37.361565 97.212624 -33.616688
476 40.477493 101.793121 -33.908562
477 40.027130 98.344666 -32.433258
478 41.748829 96.759193 -34.130028
479 28.702354 94.087151 -48.827190
480 27.751656 90.384979 -48.303791
481 33.947742 105.831871 -54.663212
482 41.179245 117.557182 -33.917747
483 38.183952 99.557861 -30.739870
484 24.700726 83.307144 -43.052887
485 35.833153 96.818291 -35.169762
486 41.279930 104.592461 -32.479698
487 39.607224 97.229561 -31.877148
488 25.269529 93.211060 -48.406189
489 34.429058 103.873833 -41.010704
490 40.712482 96.335793 -32.931244
491 40.776958 96.836197 -31.591599
492 26.554918 92.843407 -48.454868
493 39.230366 92.999641 -35.340179
494 31.065964 93.205589 -51.251476
495 34.645832 93.530907 -51.970394
496 30.469797 83.994141 -36.170467
497 27.971502 85.096390 -47.438759
498 17.631599 154.477631 -64.053947
499 26.842859 94.423500 -46.716537
500 30.472095 83.958679 -36.144463
501 26.484192 75.503700 -43.697124
502 26.364275 88.580109 -44.216930
503 31.145033 84.483978 -35.118980
504 27.153862 91.620529 -48.360474
505 27.977108 84.843971 -47.308826
506 34.786461 111.366127 -55.764389
507 30.530800 84.306519 -36.276779
508 26.478554 75.556282 -43.720440
509 35.606827 116.081161 -57.909863
510 27.104923 90.318916 -47.770458
511 27.193008 92.666237 -48.943714
512 31.793900 84.241623 -36.335445
513 32.084183 85.274384 -35.736649
514 53.177460 122.048874 -55.641754
515 14.058386 116.564735 -59.815624
516 30.887449 84.447403 -36.014233
517 30.285360 90.779449 -50.655739
518 35.433968 114.439751 -60.689022
519 39.526501 105.320572 -32.110577
520 38.978333 97.715370 -31.140930
521 38.601112 91.780510 -30.425333
522 31.824680 83.775124 -36.773983
523 39.127102 89.937126 -30.792755
524 25.654684 93.776474 -49.401348
525 41.268604 97.787895 -33.468071
526 39.469456 90.915230 -31.379742
527 39.958679 89.094200 -31.695780
528 40.523438 89.686043 -30.597183
529 41.363022 95.746155 -33.624744
530 40.811302 89.204857 -32.568275
531 41.047081 89.169189 -33.166798
532 40.838764 88.365921 -32.563248
533 41.442146 88.255013 -31.890089
534 33.132057 115.535591 -61.563194
535 35.860962 126.611328 -66.584068
536 33.879646 101.532829 -55.115772
537 25.497137 94.714241 -49.791687
538 25.238014 93.917076 -48.724731
539 36.671146 125.338516 -63.353077
540 32.116951 113.089012 -54.295753
541 26.261053 95.993828 -51.887383
542 29.466875 95.018631 -46.147446
543 26.223875 95.918335 -51.768162
544 27.796822 84.203773 -46.927666
545 34.033470 108.092316 -54.531090
546 26.572218 94.210396 -46.436626
547 26.315557 94.950073 -46.694775
548 41.720703 93.248009 -36.559174
549 26.974222 89.738419 -46.202671
550 28.811119 94.660301 -49.794373
551 29.602970 89.250443 -49.350574
552 43.046421 124.737640 -37.222107
553 44.922775 123.362648 -39.045319
554 44.224918 115.261414 -38.733479
555 28.207718 94.366158 -49.424999
556 42.646240 96.211159 -35.003914
557 28.438551 93.296638 -49.586369
558 34.631439 144.185135 -73.945038
559 31.840361 101.641289 -52.658089
560 43.507137 95.312195 -35.935646
561 29.667389 94.571320 -50.621723
562 40.500137 119.163200 -58.342617
563 31.253613 88.153633 -49.344147
564 34.831337 95.853951 -53.706097
565 26.548193 92.790161 -49.295933
566 30.088768 89.972023 -50.126499
567 28.677757 94.137398 -49.386150
568 30.024511 90.743942 -50.267120
569 28.596178 93.460594 -49.460556
570 28.558908 80.438293 -44.550854
571 30.380089 91.329247 -50.556274
572 30.014940 89.589745 -49.844616
573 34.664776 95.331726 -53.184006
574 34.097549 96.021523 -53.736526
575 33.765381 99.482216 -54.405445
576 25.491629 93.413963 -48.823498
577 29.954077 89.785324 -49.643330
578 28.598669 92.960762 -49.208553
579 30.029377 90.447769 -50.091534
580 30.042364 90.384087 -50.363419
581 38.921700 97.632942 -49.673222
582 30.136740 91.096024 -50.495293
583 34.289135 96.770508 -54.268997
584 30.091970 90.356293 -50.061802
585 45.527424 114.367119 -54.948700
586 26.820230 99.195137 -51.561844
587 56.422504 140.647034 -65.403152
588 27.292839 93.994453 -49.543930
589 25.814299 112.216057 -51.947376
590 44.643776 106.345123 -51.695354
591 35.136887 98.498222 -53.827538
592 34.765682 113.105446 -57.272247
593 34.576801 98.233482 -55.425701
594 27.454247 93.059418 -49.181725
595 28.352640 93.232567 -47.943539
596 28.866734 87.527588 -48.505672
597 29.377041 85.553070 -47.411980
598 29.088732 87.259567 -48.818050
599 28.596642 94.243492 -49.895569
600 29.139246 93.827332 -50.092442
601 30.112453 89.767700 -49.974178
602 23.867876 101.604561 -54.486904
603 29.072536 87.213814 -48.769840
604 30.118456 90.288467 -50.353607
605 29.963228 90.038528 -49.808723
606 32.762348 91.592041 -51.978683
